AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
H9K3258RE,H9K3258RE,3258,RE,854K,H9K,3258 - DIFFERENTIAL,RE - REAR,H9K,DZWH003-DRIV-DIFF,RR,15000H DIFFERENTIAL CHANGE RR,DRIV-DIFF,H9KDRIV-DIFFRR
H9K3258FR,H9K3258FR,3258,FR,854K,H9K,3258 - DIFFERENTIAL,FR - FRONT,H9K,DZWH003-DRIV-DIFF,FR,15000H DIFFERENTIAL CHANGE FR,DRIV-DIFF,H9KDRIV-DIFFFR
H9K4050RR,H9K4050RR,4050,RR,854K,H9K,4050 - FINAL DRIVE,RR - RIGHT REAR,H9K,DZWH003-DRIV-FIDV,RHR,15000H WHEEL END CHANGE RHR,DRIV-FIDV,H9KDRIV-FIDVRHR
H9K4050LR,H9K4050LR,4050,LR,854K,H9K,4050 - FINAL DRIVE,LR - LEFT REAR,H9K,DZWH003-DRIV-FIDV,LHR,15000H WHEEL END CHANGE LHR,DRIV-FIDV,H9KDRIV-FIDVLHR
H9K4050RF,H9K4050RF,4050,RF,854K,H9K,4050 - FINAL DRIVE,RF - RIGHT FRONT,H9K,DZWH003-DRIV-FIDV,RHF,15000H WHEEL END CHANGE RHF,DRIV-FIDV,H9KDRIV-FIDVRHF
H9K4050LF,H9K4050LF,4050,LF,854K,H9K,4050 - FINAL DRIVE,LF - LEFT FRONT,H9K,DZWH003-DRIV-FIDV,LHF,15000H WHEEL END CHANGE LHF,DRIV-FIDV,H9KDRIV-FIDVLHF
H9K4001LF,H9K4001LF,4001,LF,854K,H9K,4001 - FINAL DRIVE & BRAKE WHEEL,LF - LEFT FRONT,H9K,DZWH004-DRIV-FIDV,,15000H WHEEL END CHANGE LHF,DRIV-FIDV,H9KDRIV-FIDV
H9K4001LR,H9K4001LR,4001,LR,854K,H9K,4001 - FINAL DRIVE & BRAKE WHEEL,LR - LEFT REAR,H9K,LOFE061-DRIV,,15000H WHEEL END CHANGE LHR,DRIV,H9KDRIV
H9K4001RF,H9K4001RF,4001,RF,854K,H9K,4001 - FINAL DRIVE & BRAKE WHEEL,RF - RIGHT FRONT,H9K,DZWH004-DRIV-FIDV,,15000H WHEEL END CHANGE RHF,DRIV-FIDV,H9KDRIV-FIDV
H9K4001RR,H9K4001RR,4001,RR,854K,H9K,4001 - FINAL DRIVE & BRAKE WHEEL,RR - RIGHT REAR,H9K,LOFE061-DRIV,,15000H WHEEL END CHANGE RHR,DRIV,H9KDRIV
HCM100000,HCM100000,1000,00,EX2500,HCM,1000 - ENGINE,00 - (NONE),HCM,EXBH052-ENGI,,16000H ENGINE CHANGE,ENGI,HCMENGI
HCM135300,HCM135300,1353,00,EX1200-5D,HCM,1353 - RADIATOR,00 - (NONE),HCM,EXBH003-ENGI-COSY,,18000H RADIATOR CHANGE,ENGI-COSY,HCMENGI-COSY
HCM1353RE,HCM1353RE,1353,RE,EX3600-6,HCM,1353 - RADIATOR,RE - REAR,HCM,EXBH042-ENGI-COSY-RADT,RR,17000H RADIATOR CHANGE RR,ENGI-COSY-RADT,HCMENGI-COSY-RADTRR
HCM1353FR,HCM1353FR,1353,FR,EX3600-6,HCM,1353 - RADIATOR,FR - FRONT,HCM,EXBH042-ENGI-COSY-RADT,FR,17000H RADIATOR CHANGE FR,ENGI-COSY-RADT,HCMENGI-COSY-RADTFR
HCM1353LT,HCM1353LT,1353,LT,EX5600-6 BH,HCM,1353 - RADIATOR,LT - LEFT,HCM,EXBH057-ENG1-COSY,LH,20000H RADIATOR CHANGE LH,ENG1-COSY,HCMENG1-COSYLH
HCM1353RI,HCM1353RI,1353,RI,EX5600-6 BH,HCM,1353 - RADIATOR,RI - RIGHT,HCM,EXBH057-ENG2-COSY,RH,20000H RADIATOR CHANGE RH,ENG2-COSY,HCMENG2-COSYRH
HCM310800,HCM310800,3108,00,EX2600-6,HCM,3108 - Pump Drive,00 - (NONE),HCM,EXBH053-PUDR,,20000H PUMP DRIVE CHANGE,PUDR,HCMPUDR
HCM4028LT,HCM4028LT,4028,LT,EX2500,HCM,4028 - TRACK FRAME,LT - LEFT,HCM,EXBH042-UCRG-TCFS-TCFL,LH,35000H TRACK FRAME CHANGE LH,UCRG-TCFS-TCFL,HCMUCRG-TCFS-TCFLLH
HCM4028RI,HCM4028RI,4028,RI,EX2500,HCM,4028 - TRACK FRAME,RI - RIGHT,HCM,EXBH042-UCRG-TCFS-TCFR,RH,35000H TRACK FRAME CHANGE RH,UCRG-TCFS-TCFR,HCMUCRG-TCFS-TCFRRH
HCM4050LT,HCM4050LT,4050,LT,EX1200-5D,HCM,4050 - FINAL DRIVE,LT - LEFT,HCM,EXBH003-UCRG-FIDV,LH,18000H FINAL DRIVE CHANGE LH,UCRG-FIDV,HCMUCRG-FIDVLH
HCM4050RI,HCM4050RI,4050,RI,EX1200-5D,HCM,4050 - FINAL DRIVE,RI - RIGHT,HCM,EXBH003-UCRG-FIDV,RH,18000H FINAL DRIVE CHANGE RH,UCRG-FIDV,HCMUCRG-FIDVRH
HCM4159LT,HCM4159LT,4159,LT,EX1900-6BE,HCM,4159 - IDLER/IDLER WHEEL,LT - LEFT,HCM,EXBH005-UCRG-TCID-TCIL,LH,16000H IDLER CHANGE LH,UCRG-TCID-TCIL,HCMUCRG-TCID-TCILLH
HCM4159RI,HCM4159RI,4159,RI,EX1900-6BE,HCM,4159 - IDLER/IDLER WHEEL,RI - RIGHT,HCM,EXBH005-UCRG-TCID-TCIR,RH,16000H IDLER CHANGE RH,UCRG-TCID-TCIR,HCMUCRG-TCID-TCIRRH
HCM415900,HCM415900,4159,00,EX2500,HCM,4159 - IDLER/IDLER WHEEL,00 - (NONE),HCM,EXBH052-UCRG,,18000H IDLER CHANGE RH,UCRG,HCMUCRG
HCM417000,HCM417000,4170,00,EX2500,HCM,4170 - TRACK ASSEMBLY,00 - (NONE),HCM,EXBH052,,17500H TRACK CHANGE RH,,
HCM4170RI,HCM4170RI,4170,RI,EX1200-5D,HCM,4170 - TRACK ASSEMBLY,RI - RIGHT,HCM,EXBH003-TCKS,RH,18000H TRACK CHANGE RH,TCKS,HCMTCKSRH
HCM4170LT,HCM4170LT,4170,LT,EX1200-5D,HCM,4170 - TRACK ASSEMBLY,LT - LEFT,HCM,EXBH003-TCKS,LH,18000H TRACK CHANGE LH,TCKS,HCMTCKSLH
