CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
980K,980K,,13221.P01.SCRNP.0 Wheel Rim,980K13221.P01.SCRNP.0 Wheel Rim
980K,980K,,13221.P02.SCRNP.0 Wheel Rim,980K13221.P02.SCRNP.0 Wheel Rim
980K,980K,,13221.P03.SCRNP.0 Wheel Rim,980K13221.P03.SCRNP.0 Wheel Rim
980K,980K,,13221.P04.SCRNP.0 Wheel Rim,980K13221.P04.SCRNP.0 Wheel Rim
980K,980K,,17104.0.SCR.0 Seat,980K17104.0.SCR.0 Seat
980K,980K,,50004.0.SCRNP.0 GET,980K50004.0.SCRNP.0 GET
980K,980K,,50200.P01.SCRNP.0 Tyre,980K50200.P01.SCRNP.0 Tyre
980K,980K,,50200.P02.SCRNP.0 Tyre,980K50200.P02.SCRNP.0 Tyre
980K,980K,,50200.P03.SCRNP.0 Tyre,980K50200.P03.SCRNP.0 Tyre
980K,980K,,50200.P04.SCRNP.0 Tyre,980K50200.P04.SCRNP.0 Tyre
993K,993K,,11102.0.SCRNP.0 Engine Cooling System,993K11102.0.SCRNP.0 Engine Cooling System
993K,993K,,13104.0.SCRNP.0 Drive Shaft,993K13104.0.SCRNP.0 Drive Shaft
993K,993K,,13221.P01.SCRNP.0 Wheel Rim,993K13221.P01.SCRNP.0 Wheel Rim
993K,993K,,13221.P02.SCRNP.0 Wheel Rim,993K13221.P02.SCRNP.0 Wheel Rim
993K,993K,,13221.P03.SCRNP.0 Wheel Rim,993K13221.P03.SCRNP.0 Wheel Rim
993K,993K,,13221.P04.SCRNP.0 Wheel Rim,993K13221.P04.SCRNP.0 Wheel Rim
993K,993K,,13409.0.SCRNP.0 Transmission Oil Cooler,993K13409.0.SCRNP.0 Transmission Oil Cooler
993K,993K,,14002.FT.SCRNP.0 Brake Accumulator,993K14002.FT.SCRNP.0 Brake Accumulator
993K,993K,,14002.RE.SCRNP.0 Brake Accumulator,993K14002.RE.SCRNP.0 Brake Accumulator
993K,993K,,14112.0.SCRNP.0 Steering Oil Cooler,993K14112.0.SCRNP.0 Steering Oil Cooler
993K,993K,,15105.0.SCRNP.0 Hydraulic Tank,993K15105.0.SCRNP.0 Hydraulic Tank
993K,993K,,15133.LH.SCRNP.0 Ride Control Accumulator,993K15133.LH.SCRNP.0 Ride Control Accumulator
993K,993K,,15133.RH.SCRNP.0 Ride Control Accumulator,993K15133.RH.SCRNP.0 Ride Control Accumulator
993K,993K,,17104.0.SCR.0 Seat,993K17104.0.SCR.0 Seat
993K,993K,,50004.0.SCRNP.0 GET,993K50004.0.SCRNP.0 GET
993K,993K,,50200.P01.SCRNP.0 Tyre,993K50200.P01.SCRNP.0 Tyre
993K,993K,,50200.P02.SCRNP.0 Tyre,993K50200.P02.SCRNP.0 Tyre
993K,993K,,50200.P03.SCRNP.0 Tyre,993K50200.P03.SCRNP.0 Tyre
993K,993K,,50200.P04.SCRNP.0 Tyre,993K50200.P04.SCRNP.0 Tyre
993K,993K,,13106.0.SCR.0 Main D/Shaft Unis,993K13106.0.SCR.0 Main D/Shaft Unis
993K,993K,,"17301.0.SCR.0 Bucket Pins, Bushes","993K17301.0.SCR.0 Bucket Pins, Bushes"
MD5150,MD5150,,13102.0.CNC.0 Damper / Drive Coupling,MD515013102.0.CNC.0 Damper / Drive Coupling
MD6250,MD6250,,13102.0.CNC.0 Damper / Drive Coupling,MD625013102.0.CNC.0 Damper / Drive Coupling
MD6420B,MD6420B,,13102.0.CNC.0 Damper / Drive Coupling,MD6420B13102.0.CNC.0 Damper / Drive Coupling
MD6420B4170 - TRACK ASSEMBLY-LT - LEFT,MD6420B,4170 - TRACK ASSEMBLY-LT - LEFT,18204.LH.CNCNP.0 Track Assembly,MD6420B18204.LH.CNCNP.0 Track Assembly
MD6420B4170 - TRACK ASSEMBLY-RI - RIGHT,MD6420B,4170 - TRACK ASSEMBLY-RI - RIGHT,18204.RH.CNCNP.0 Track Assembly,MD6420B18204.RH.CNCNP.0 Track Assembly
MD6250,MD6250,,13102.0.CNC.0 Damper / Drive Coupling,MD625013102.0.CNC.0 Damper / Drive Coupling
777G,777G,,15105.0.SCRNP.0 Hydraulic Tank,777G15105.0.SCRNP.0 Hydraulic Tank
785C4307 - STEERING VALVE-00 - (NONE),785C,4307 - STEERING VALVE-00 - (NONE),14119.0.CC.0 Steering Orbital / HMU Valve,785C14119.0.CC.0 Steering Orbital / HMU Valve
785D4307 - STEERING VALVE-00 - (NONE),785D,4307 - STEERING VALVE-00 - (NONE),14119.0.CC.0 Steering Orbital / HMU Valve,785D14119.0.CC.0 Steering Orbital / HMU Valve
7854307 - STEERING VALVE-00 - (NONE),785,4307 - STEERING VALVE-00 - (NONE),14119.0.CCNP.0 Steering Orbital / HMU Valve,78514119.0.CCNP.0 Steering Orbital / HMU Valve
6060 FS,6060 FS,,15119.0.SCR.0 Hydraulic Hose - Stick Cylinder,6060 FS15119.0.SCR.0 Hydraulic Hose - Stick Cylinder
6060 FS,6060 FS,,15120.0.SCR.0 Hydraulic Hose - Boom Cylinder,6060 FS15120.0.SCR.0 Hydraulic Hose - Boom Cylinder
6060 FS3204 - CHARGE PUMP-LT - LEFT,6060 FS,3204 - CHARGE PUMP-LT - LEFT,15335.LH.CC.0 Swing Replenishing Pump,6060 FS15335.LH.CC.0 Swing Replenishing Pump
6060 FS,6060 FS,,15132.0.SCR.0 Hydraulic Hose - High Pressure Block to Pressure Sensor,6060 FS15132.0.SCR.0 Hydraulic Hose - High Pressure Block to Pressure Sensor
16M,16M,,13102.0.CNC.0 Damper / Drive Coupling,16M13102.0.CNC.0 Damper / Drive Coupling
16M,16M,,13102.0.CNCNP.0 Damper / Drive Coupling,16M13102.0.CNCNP.0 Damper / Drive Coupling
773EST4307 - STEERING VALVE-00 - (NONE),773EST,4307 - STEERING VALVE-00 - (NONE),14119.0.CNC.0 Steering Orbital / HMU Valve,773EST14119.0.CNC.0 Steering Orbital / HMU Valve
777G,777G,,17104.0.SCR.0 Seat,777G17104.0.SCR.0 Seat
6060 FS,6060 FS,,17104.0.SCR.0 Seat,6060 FS17104.0.SCR.0 Seat
6060 FS,6060 FS,,13102.LH.CC.0 Damper / Drive Coupling,6060 FS13102.LH.CC.0 Damper / Drive Coupling
16,16,,16101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY),1616101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY)
16,16,,16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY),1616128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
16H,16H,,16101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY),16H16101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY)
16H,16H,,16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY),16H16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
16M3,16M3,,16101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY),16M316101.0.CC.0 Blade - Reserve Strategy (Change Out ONLY)
16M3,16M3,,16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY),16M316128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
6050 FS1000 - ENGINE-LT - LEFT,6050 FS,1000 - ENGINE-LT - LEFT,11204.LH.CC.0 Engine,6050 FS11204.LH.CC.0 Engine
6050 FS,6050 FS,,11205.LH.CC.0 Engine Mid-Life,6050 FS11205.LH.CC.0 Engine Mid-Life
6050 FS1000 - ENGINE-RI - RIGHT,6050 FS,1000 - ENGINE-RI - RIGHT,11204.RH.CC.0 Engine,6050 FS11204.RH.CC.0 Engine
6050 FS,6050 FS,,11205.RH.CC.0 Engine Mid-Life,6050 FS11205.RH.CC.0 Engine Mid-Life
6050 FS,6050 FS,,15111.0.CC.0 Boom Arch Hose Group,6050 FS15111.0.CC.0 Boom Arch Hose Group
6050 FS,6050 FS,,15402.LH.CCNP.0 Main Control Valve,6050 FS15402.LH.CCNP.0 Main Control Valve
6050 FS,6050 FS,,15402.RH.CCNP.0 Main Control Valve,6050 FS15402.RH.CCNP.0 Main Control Valve
6050 FS5060 - SWIVEL-00 - (NONE),6050 FS,5060 - SWIVEL-00 - (NONE),15405.0.CC.0 Rotary Swivel,6050 FS15405.0.CC.0 Rotary Swivel
6050 FS,6050 FS,,16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY),6050 FS16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY)
6050 FS,6050 FS,,16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY),6050 FS16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
6050 FS,6050 FS,,17504.0.CCNP.0 Boom,6050 FS17504.0.CCNP.0 Boom
6050 FS,6050 FS,,17506.0.CNC.0 Car Body (Centre Frame),6050 FS17506.0.CNC.0 Car Body (Centre Frame)
6050 FS,6050 FS,,17507.0.CNC.0 Chassis (Main Frame),6050 FS17507.0.CNC.0 Chassis (Main Frame)
6050 FS,6050 FS,,17519.0.CCNP.0 Stick,6050 FS17519.0.CCNP.0 Stick
6050 FS5077 - HYDRAULIC ACCUMULATOR-LT - LEFT,6050 FS,5077 - HYDRAULIC ACCUMULATOR-LT - LEFT,18005.LH.CNC.0 Track Tensioner Accumulator,6050 FS18005.LH.CNC.0 Track Tensioner Accumulator
6050 FS5077 - HYDRAULIC ACCUMULATOR-RI - RIGHT,6050 FS,5077 - HYDRAULIC ACCUMULATOR-RI - RIGHT,18005.RH.CNC.0 Track Tensioner Accumulator,6050 FS18005.RH.CNC.0 Track Tensioner Accumulator
6050 FS,6050 FS,,18006.LH.CCNP.0 Track Frame,6050 FS18006.LH.CCNP.0 Track Frame
6050 FS,6050 FS,,18006.RH.CCNP.0 Track Frame,6050 FS18006.RH.CCNP.0 Track Frame
6050 FS,6050 FS,,18100.FL.CCNP.0 Carrier Roller,6050 FS18100.FL.CCNP.0 Carrier Roller
6050 FS,6050 FS,,18100.FR.CCNP.0 Carrier Roller,6050 FS18100.FR.CCNP.0 Carrier Roller
6050 FS,6050 FS,,18100.RL.CCNP.0 Carrier Roller,6050 FS18100.RL.CCNP.0 Carrier Roller
6050 FS,6050 FS,,18100.RR.CCNP.0 Carrier Roller,6050 FS18100.RR.CCNP.0 Carrier Roller
6050 FS4180 - TRACK ROLLER-L01 - LEFT NO. 01,6050 FS,4180 - TRACK ROLLER-L01 - LEFT NO. 01,18101.L01.CCNP.0 Load Roller,6050 FS18101.L01.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-L02 - LEFT NO. 02,6050 FS,4180 - TRACK ROLLER-L02 - LEFT NO. 02,18101.L02.CCNP.0 Load Roller,6050 FS18101.L02.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-L03 - LEFT NO. 03,6050 FS,4180 - TRACK ROLLER-L03 - LEFT NO. 03,18101.L03.CCNP.0 Load Roller,6050 FS18101.L03.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-L04 - LEFT NO. 04,6050 FS,4180 - TRACK ROLLER-L04 - LEFT NO. 04,18101.L04.CCNP.0 Load Roller,6050 FS18101.L04.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-L05 - LEFT NO. 05,6050 FS,4180 - TRACK ROLLER-L05 - LEFT NO. 05,18101.L05.CCNP.0 Load Roller,6050 FS18101.L05.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-L06 - LEFT NO. 06,6050 FS,4180 - TRACK ROLLER-L06 - LEFT NO. 06,18101.L06.CCNP.0 Load Roller,6050 FS18101.L06.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-R01 - RIGHT NO.01,6050 FS,4180 - TRACK ROLLER-R01 - RIGHT NO.01,18101.R01.CCNP.0 Load Roller,6050 FS18101.R01.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-R02 - RIGHT NO.02,6050 FS,4180 - TRACK ROLLER-R02 - RIGHT NO.02,18101.R02.CCNP.0 Load Roller,6050 FS18101.R02.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-R03 - RIGHT NO.03,6050 FS,4180 - TRACK ROLLER-R03 - RIGHT NO.03,18101.R03.CCNP.0 Load Roller,6050 FS18101.R03.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-R04 - RIGHT NO.04,6050 FS,4180 - TRACK ROLLER-R04 - RIGHT NO.04,18101.R04.CNCNP.0 Load Roller,6050 FS18101.R04.CNCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-R05 - RIGHT NO.05,6050 FS,4180 - TRACK ROLLER-R05 - RIGHT NO.05,18101.R05.CCNP.0 Load Roller,6050 FS18101.R05.CCNP.0 Load Roller
6050 FS4180 - TRACK ROLLER-R06 - RIGHT NO.06,6050 FS,4180 - TRACK ROLLER-R06 - RIGHT NO.06,18101.R06.CCNP.0 Load Roller,6050 FS18101.R06.CCNP.0 Load Roller
6050 FS4159 - IDLER/IDLER WHEEL-LT - LEFT,6050 FS,4159 - IDLER/IDLER WHEEL-LT - LEFT,18102.LH.CCNP.0 Track Idler,6050 FS18102.LH.CCNP.0 Track Idler
6050 FS4159 - IDLER/IDLER WHEEL-RI - RIGHT,6050 FS,4159 - IDLER/IDLER WHEEL-RI - RIGHT,18102.RH.CCNP.0 Track Idler,6050 FS18102.RH.CCNP.0 Track Idler
6050 FS4164 - SPROCKET ASSEMBLY-LT - LEFT,6050 FS,4164 - SPROCKET ASSEMBLY-LT - LEFT,18202.LH.CCNP.0 Sprocket,6050 FS18202.LH.CCNP.0 Sprocket
6050 FS4164 - SPROCKET ASSEMBLY-RI - RIGHT,6050 FS,4164 - SPROCKET ASSEMBLY-RI - RIGHT,18202.RH.CCNP.0 Sprocket,6050 FS18202.RH.CCNP.0 Sprocket
6050 FS1353 - RADIATOR-LT - LEFT,6050 FS,1353 - RADIATOR-LT - LEFT,11105.LH.CC.0 Radiator,6050 FS11105.LH.CC.0 Radiator
6050 FS1353 - RADIATOR-RI - RIGHT,6050 FS,1353 - RADIATOR-RI - RIGHT,11105.RH.CC.0 Radiator,6050 FS11105.RH.CC.0 Radiator
6050 FS4050 - FINAL DRIVE-LT - LEFT,6050 FS,4050 - FINAL DRIVE-LT - LEFT,13010.LH.CC.0 Final Drive,6050 FS13010.LH.CC.0 Final Drive
6050 FS4050 - FINAL DRIVE-RI - RIGHT,6050 FS,4050 - FINAL DRIVE-RI - RIGHT,13010.RH.CC.0 Final Drive,6050 FS13010.RH.CC.0 Final Drive
6050 FS,6050 FS,,13102.LH.CC.0 Damper / Drive Coupling,6050 FS13102.LH.CC.0 Damper / Drive Coupling
6050 FS,6050 FS,,13102.RH.CC.0 Damper / Drive Coupling,6050 FS13102.RH.CC.0 Damper / Drive Coupling
6050 FS3108 - PUMP DRIVE GRP-LT - LEFT,6050 FS,3108 - PUMP DRIVE GRP-LT - LEFT,13107.LH.CC.0 Pump Drive,6050 FS13107.LH.CC.0 Pump Drive
6050 FS3108 - PUMP DRIVE GRP-RI - RIGHT,6050 FS,3108 - PUMP DRIVE GRP-RI - RIGHT,13107.RH.CC.0 Pump Drive,6050 FS13107.RH.CC.0 Pump Drive
6050 FS7063 - SWING GEAR/BEARING-00 - (NONE),6050 FS,7063 - SWING GEAR/BEARING-00 - (NONE),13300.0.CC.0 Slew Bearing,6050 FS13300.0.CC.0 Slew Bearing
6050 FS5459 - SWING DRIVE-LF - LEFT FRONT,6050 FS,5459 - SWING DRIVE-LF - LEFT FRONT,13303.FL.CC.0 Swing Drive,6050 FS13303.FL.CC.0 Swing Drive
6050 FS5459 - SWING DRIVE-RF - RIGHT FRONT,6050 FS,5459 - SWING DRIVE-RF - RIGHT FRONT,13303.FR.CC.0 Swing Drive,6050 FS13303.FR.CC.0 Swing Drive
6050 FS5459 - SWING DRIVE-LR - LEFT REAR,6050 FS,5459 - SWING DRIVE-LR - LEFT REAR,13303.RL.CC.0 Swing Drive,6050 FS13303.RL.CC.0 Swing Drive
6050 FS5459 - SWING DRIVE-RR - RIGHT REAR,6050 FS,5459 - SWING DRIVE-RR - RIGHT REAR,13303.RR.CC.0 Swing Drive,6050 FS13303.RR.CC.0 Swing Drive
6050 FS5460 - SWING BRAKE-LF - LEFT FRONT,6050 FS,5460 - SWING BRAKE-LF - LEFT FRONT,14020.FL.CNC.0 Swing Brake,6050 FS14020.FL.CNC.0 Swing Brake
6050 FS5460 - SWING BRAKE-RF - RIGHT FRONT,6050 FS,5460 - SWING BRAKE-RF - RIGHT FRONT,14020.FR.CNC.0 Swing Brake,6050 FS14020.FR.CNC.0 Swing Brake
6050 FS5460 - SWING BRAKE-LR - LEFT REAR,6050 FS,5460 - SWING BRAKE-LR - LEFT REAR,14020.RL.CNC.0 Swing Brake,6050 FS14020.RL.CNC.0 Swing Brake
6050 FS5460 - SWING BRAKE-RR - RIGHT REAR,6050 FS,5460 - SWING BRAKE-RR - RIGHT REAR,14020.RR.CNC.0 Swing Brake,6050 FS14020.RR.CNC.0 Swing Brake
6050 FS79C3 - PROPEL BRAKE-LF - LEFT FRONT,6050 FS,79C3 - PROPEL BRAKE-LF - LEFT FRONT,14021.FL.CC.0 Travel Brake,6050 FS14021.FL.CC.0 Travel Brake
6050 FS79C3 - PROPEL BRAKE-RF - RIGHT FRONT,6050 FS,79C3 - PROPEL BRAKE-RF - RIGHT FRONT,14021.FR.CC.0 Travel Brake,6050 FS14021.FR.CC.0 Travel Brake
6050 FS79C3 - PROPEL BRAKE-LR - LEFT REAR,6050 FS,79C3 - PROPEL BRAKE-LR - LEFT REAR,14021.RL.CC.0 Travel Brake,6050 FS14021.RL.CC.0 Travel Brake
6050 FS79C3 - PROPEL BRAKE-RR - RIGHT REAR,6050 FS,79C3 - PROPEL BRAKE-RR - RIGHT REAR,14021.RR.CC.0 Travel Brake,6050 FS14021.RR.CC.0 Travel Brake
6050 FS5456 - BOOM CYLINDER-LT - LEFT,6050 FS,5456 - BOOM CYLINDER-LT - LEFT,15005.LH.CC.0 Boom Cylinder,6050 FS15005.LH.CC.0 Boom Cylinder
6050 FS5456 - BOOM CYLINDER-RI - RIGHT,6050 FS,5456 - BOOM CYLINDER-RI - RIGHT,15005.RH.CC.0 Boom Cylinder,6050 FS15005.RH.CC.0 Boom Cylinder
6050 FS5457 - BUCKET CYLINDER-LT - LEFT,6050 FS,5457 - BUCKET CYLINDER-LT - LEFT,15010.LH.CC.0 Bucket Cylinder,6050 FS15010.LH.CC.0 Bucket Cylinder
6050 FS5457 - BUCKET CYLINDER-RI - RIGHT,6050 FS,5457 - BUCKET CYLINDER-RI - RIGHT,15010.RH.CC.0 Bucket Cylinder,6050 FS15010.RH.CC.0 Bucket Cylinder
6050 FS5458 - STICK CYLINDER-LT - LEFT,6050 FS,5458 - STICK CYLINDER-LT - LEFT,15027.LH.CC.0 Stick Cylinder,6050 FS15027.LH.CC.0 Stick Cylinder
6050 FS5458 - STICK CYLINDER-RI - RIGHT,6050 FS,5458 - STICK CYLINDER-RI - RIGHT,15027.RH.CC.0 Stick Cylinder,6050 FS15027.RH.CC.0 Stick Cylinder
6050 FS545D - CLAM CYLINDER-LT - LEFT,6050 FS,545D - CLAM CYLINDER-LT - LEFT,15034.LH.CC.0 Clam Cylinder,6050 FS15034.LH.CC.0 Clam Cylinder
6050 FS545D - CLAM CYLINDER-RI - RIGHT,6050 FS,545D - CLAM CYLINDER-RI - RIGHT,15034.RH.CC.0 Clam Cylinder,6050 FS15034.RH.CC.0 Clam Cylinder
6050 FS1374 - HYDRAULIC OIL COOLER-FLO - FRONT LOWER,6050 FS,1374 - HYDRAULIC OIL COOLER-FLO - FRONT LOWER,15103.BF.CC.0 Hydraulic Oil Cooler,6050 FS15103.BF.CC.0 Hydraulic Oil Cooler
6050 FS1374 - HYDRAULIC OIL COOLER-RLO - REAR LOWER,6050 FS,1374 - HYDRAULIC OIL COOLER-RLO - REAR LOWER,15103.BRE.CC.0 Hydraulic Oil Cooler,6050 FS15103.BRE.CC.0 Hydraulic Oil Cooler
6050 FS1374 - HYDRAULIC OIL COOLER-FUP - FRONT UPPER,6050 FS,1374 - HYDRAULIC OIL COOLER-FUP - FRONT UPPER,15103.TF.CC.0 Hydraulic Oil Cooler,6050 FS15103.TF.CC.0 Hydraulic Oil Cooler
6050 FS1374 - HYDRAULIC OIL COOLER-REU - REAR UPPER,6050 FS,1374 - HYDRAULIC OIL COOLER-REU - REAR UPPER,15103.TRE.CC.0 Hydraulic Oil Cooler,6050 FS15103.TRE.CC.0 Hydraulic Oil Cooler
6050 FS89CS - ENGINE FAN MOTOR-LT - LEFT,6050 FS,89CS - ENGINE FAN MOTOR-LT - LEFT,15204.LH.CC.0 Engine Cooling Fan Motor,6050 FS15204.LH.CC.0 Engine Cooling Fan Motor
6050 FS89CS - ENGINE FAN MOTOR-RI - RIGHT,6050 FS,89CS - ENGINE FAN MOTOR-RI - RIGHT,15204.RH.CC.0 Engine Cooling Fan Motor,6050 FS15204.RH.CC.0 Engine Cooling Fan Motor
6050 FS1386 - HYDRAULIC FAN MOTOR-FRL - FAIRLEAD RIGHT LOWER,6050 FS,1386 - HYDRAULIC FAN MOTOR-FRL - FAIRLEAD RIGHT LOWER,15205.BF.CC.0 Hydraulic Cooling Fan Motor,6050 FS15205.BF.CC.0 Hydraulic Cooling Fan Motor
6050 FS1386 - HYDRAULIC FAN MOTOR-REL - REEL,6050 FS,1386 - HYDRAULIC FAN MOTOR-REL - REEL,15205.BRE.CC.0 Hydraulic Cooling Fan Motor,6050 FS15205.BRE.CC.0 Hydraulic Cooling Fan Motor
6050 FS1386 - HYDRAULIC FAN MOTOR-FRU - FAIRLEAD RIGHT UPPER,6050 FS,1386 - HYDRAULIC FAN MOTOR-FRU - FAIRLEAD RIGHT UPPER,15205.TF.CC.0 Hydraulic Cooling Fan Motor,6050 FS15205.TF.CC.0 Hydraulic Cooling Fan Motor
6050 FS1386 - HYDRAULIC FAN MOTOR-REU - REAR UPPER,6050 FS,1386 - HYDRAULIC FAN MOTOR-REU - REAR UPPER,15205.TRE.CC.0 Hydraulic Cooling Fan Motor,6050 FS15205.TRE.CC.0 Hydraulic Cooling Fan Motor
6050 FS79PA - SWING DRIVE MOTOR-LF - LEFT FRONT,6050 FS,79PA - SWING DRIVE MOTOR-LF - LEFT FRONT,15210.FL.CC.0 Swing Motor,6050 FS15210.FL.CC.0 Swing Motor
6050 FS79PA - SWING DRIVE MOTOR-RF - RIGHT FRONT,6050 FS,79PA - SWING DRIVE MOTOR-RF - RIGHT FRONT,15210.FR.CC.0 Swing Motor,6050 FS15210.FR.CC.0 Swing Motor
6050 FS79PA - SWING DRIVE MOTOR-LR - LEFT REAR,6050 FS,79PA - SWING DRIVE MOTOR-LR - LEFT REAR,15210.RL.CC.0 Swing Motor,6050 FS15210.RL.CC.0 Swing Motor
6050 FS79PA - SWING DRIVE MOTOR-RR - RIGHT REAR,6050 FS,79PA - SWING DRIVE MOTOR-RR - RIGHT REAR,15210.RR.CC.0 Swing Motor,6050 FS15210.RR.CC.0 Swing Motor
6050 FS4351 - HYD PROPEL/DRIVE MOTOR-LF - LEFT FRONT,6050 FS,4351 - HYD PROPEL/DRIVE MOTOR-LF - LEFT FRONT,15211.FL.CC.0 Travel Motor,6050 FS15211.FL.CC.0 Travel Motor
6050 FS4351 - HYD PROPEL/DRIVE MOTOR-RF - RIGHT FRONT,6050 FS,4351 - HYD PROPEL/DRIVE MOTOR-RF - RIGHT FRONT,15211.FR.CC.0 Travel Motor,6050 FS15211.FR.CC.0 Travel Motor
6050 FS4351 - HYD PROPEL/DRIVE MOTOR-LR - LEFT REAR,6050 FS,4351 - HYD PROPEL/DRIVE MOTOR-LR - LEFT REAR,15211.RL.CC.0 Travel Motor,6050 FS15211.RL.CC.0 Travel Motor
6050 FS4351 - HYD PROPEL/DRIVE MOTOR-RR - RIGHT REAR,6050 FS,4351 - HYD PROPEL/DRIVE MOTOR-RR - RIGHT REAR,15211.RR.CC.0 Travel Motor,6050 FS15211.RR.CC.0 Travel Motor
6050 FS89BU - ENGINE FAN PUMP-LT - LEFT,6050 FS,89BU - ENGINE FAN PUMP-LT - LEFT,15309.LH.CC.0 Engine Cooling Fan Pump,6050 FS15309.LH.CC.0 Engine Cooling Fan Pump
6050 FS89BU - ENGINE FAN PUMP-RI - RIGHT,6050 FS,89BU - ENGINE FAN PUMP-RI - RIGHT,15309.RH.CC.0 Engine Cooling Fan Pump,6050 FS15309.RH.CC.0 Engine Cooling Fan Pump
6050 FS1387 - HYDRAULIC FAN PUMP-P01 - P01,6050 FS,1387 - HYDRAULIC FAN PUMP-P01 - P01,15313.P01.CC.0 Hydraulic Cooling Fan Pump,6050 FS15313.P01.CC.0 Hydraulic Cooling Fan Pump
6050 FS1387 - HYDRAULIC FAN PUMP-P02 - P02,6050 FS,1387 - HYDRAULIC FAN PUMP-P02 - P02,15313.P02.CC.0 Hydraulic Cooling Fan Pump,6050 FS15313.P02.CC.0 Hydraulic Cooling Fan Pump
6050 FS1387 - HYDRAULIC FAN PUMP-P03 - P03,6050 FS,1387 - HYDRAULIC FAN PUMP-P03 - P03,15313.P03.CC.0 Hydraulic Cooling Fan Pump,6050 FS15313.P03.CC.0 Hydraulic Cooling Fan Pump
6050 FS1387 - HYDRAULIC FAN PUMP-P04 - P04,6050 FS,1387 - HYDRAULIC FAN PUMP-P04 - P04,15313.P04.CC.0 Hydraulic Cooling Fan Pump,6050 FS15313.P04.CC.0 Hydraulic Cooling Fan Pump
6050 FS5084 - IMPLEMENT PUMP-LF - LEFT FRONT,6050 FS,5084 - IMPLEMENT PUMP-LF - LEFT FRONT,15316.P01.CC.0 Main Pump,6050 FS15316.P01.CC.0 Main Pump
6050 FS5084 - IMPLEMENT PUMP-RF - RIGHT FRONT,6050 FS,5084 - IMPLEMENT PUMP-RF - RIGHT FRONT,15316.P02.CC.0 Main Pump,6050 FS15316.P02.CC.0 Main Pump
6050 FS5084 - IMPLEMENT PUMP-LR - LEFT REAR,6050 FS,5084 - IMPLEMENT PUMP-LR - LEFT REAR,15316.P03.CC.0 Main Pump,6050 FS15316.P03.CC.0 Main Pump
6050 FS5084 - IMPLEMENT PUMP-RR - RIGHT REAR,6050 FS,5084 - IMPLEMENT PUMP-RR - RIGHT REAR,15316.P04.CC.0 Main Pump,6050 FS15316.P04.CC.0 Main Pump
6050 FS5085 - PILOT PUMP-LF - LEFT FRONT,6050 FS,5085 - PILOT PUMP-LF - LEFT FRONT,15328.P01.CC.0 Servo Pump,6050 FS15328.P01.CC.0 Servo Pump
6050 FS5085 - PILOT PUMP-RF - RIGHT FRONT,6050 FS,5085 - PILOT PUMP-RF - RIGHT FRONT,15328.P02.CC.0 Servo Pump,6050 FS15328.P02.CC.0 Servo Pump
6050 FS5085 - PILOT PUMP-LR - LEFT REAR,6050 FS,5085 - PILOT PUMP-LR - LEFT REAR,15328.P03.CC.0 Servo Pump,6050 FS15328.P03.CC.0 Servo Pump
6050 FS5085 - PILOT PUMP-RR - RIGHT REAR,6050 FS,5085 - PILOT PUMP-RR - RIGHT REAR,15328.P04.CC.0 Servo Pump,6050 FS15328.P04.CC.0 Servo Pump
6050 FS5473 - SWING PUMP-P01 - P01,6050 FS,5473 - SWING PUMP-P01 - P01,15334.P01.CC.0 Swing Pump,6050 FS15334.P01.CC.0 Swing Pump
6050 FS5473 - SWING PUMP-P02 - P02,6050 FS,5473 - SWING PUMP-P02 - P02,15334.P02.CC.0 Swing Pump,6050 FS15334.P02.CC.0 Swing Pump
6050 FS5473 - SWING PUMP-P03 - P03,6050 FS,5473 - SWING PUMP-P03 - P03,15334.P03.CC.0 Swing Pump,6050 FS15334.P03.CC.0 Swing Pump
